riskFrequency,pvalueDescription,pvalueMantissa,pvalueExponent,multiSnpHaplotype,snpInteraction,snpType,standardError,range,description,orPerCopyNum,betaNum,betaUnit,betaDirection,loci,lastMappingDate,lastUpdateDate,pvalue,associationId,haplotypeSnpCount,description,strongestRiskAlleles,authorReportedGenes,riskAlleleName,riskFrequency,genomeWide,limitedList
NR,(subset analysis),2,-11,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4728142-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IRF5', 'entrezGeneIds': [{'entrezGeneId': '3663'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000128604'}]}]}",2024-05-23T21:02:51.000+0000,2024-05-23T21:02:51.000+0000,2e-11,24297982,,Single variant,"[{'riskAlleleName': 'rs4728142-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IRF5', 'entrezGeneIds': [{'entrezGeneId': '3663'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000128604'}]}]",rs4728142-?,NR,False,False
NR,(subset analysis),2,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2538470-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:37:53.000+0000,2024-02-17T07:37:53.000+0000,2e-10,24297986,,Single variant,"[{'riskAlleleName': 'rs2538470-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2538470-?,NR,False,False
NR,(subset analysis),4,-19,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1551399-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RP11-136O12.2', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:11.000+0000,2024-02-17T07:38:11.000+0000,4e-19,24297994,,Single variant,"[{'riskAlleleName': 'rs1551399-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RP11-136O12.2', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs1551399-?,NR,False,False
NR,(subset analysis),4,-8,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2042011-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'MIR1208', 'entrezGeneIds': [{'entrezGeneId': '100302281'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000221261'}]}, {'geneName': 'RN7SKP226', 'entrezGeneIds': [{'entrezGeneId': '106480903'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000201782'}]}]}",2024-02-17T07:38:13.000+0000,2024-02-17T07:38:13.000+0000,4e-08,24297999,,Single variant,"[{'riskAlleleName': 'rs2042011-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'MIR1208', 'entrezGeneIds': [{'entrezGeneId': '100302281'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000221261'}]}, {'geneName': 'RN7SKP226', 'entrezGeneIds': [{'entrezGeneId': '106480903'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000201782'}]}]",rs2042011-?,NR,False,False
NR,(subset analysis),2,-10,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10094579-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:09.000+0000,2024-02-17T07:38:09.000+0000,2e-10,24297990,,Single variant,"[{'riskAlleleName': 'rs10094579-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs10094579-?,NR,False,False
NR,(subset analysis),2,-17,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6651252-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RP11-89M16.1', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:15.000+0000,2024-02-17T07:38:15.000+0000,2e-17,24298003,,Single variant,"[{'riskAlleleName': 'rs6651252-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RP11-89M16.1', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs6651252-?,NR,False,False
NR,(subset analysis),5,-43,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10758669-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'JAK2', 'entrezGeneIds': [{'entrezGeneId': '3717'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000096968'}]}]}",2024-02-17T07:38:17.000+0000,2024-02-17T07:38:17.000+0000,5e-43,24298008,,Single variant,"[{'riskAlleleName': 'rs10758669-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'JAK2', 'entrezGeneIds': [{'entrezGeneId': '3717'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000096968'}]}]",rs10758669-?,NR,False,False
NR,(subset analysis),6,-9,False,False,novel,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2812378-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CCL21', 'entrezGeneIds': [{'entrezGeneId': '6366'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000137077'}]}, {'geneName': 'FAM205A', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:20.000+0000,2024-02-17T07:38:20.000+0000,6.000000000000001e-09,24298012,,Single variant,"[{'riskAlleleName': 'rs2812378-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CCL21', 'entrezGeneIds': [{'entrezGeneId': '6366'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000137077'}]}, {'geneName': 'FAM205A', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2812378-?,NR,False,False
NR,(subset analysis),1,-25,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7848647-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TNFSF15', 'entrezGeneIds': [{'entrezGeneId': '9966'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000181634'}]}]}",2024-02-17T07:38:23.000+0000,2024-02-17T07:38:23.000+0000,1e-25,24298016,,Single variant,"[{'riskAlleleName': 'rs7848647-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TNFSF15', 'entrezGeneIds': [{'entrezGeneId': '9966'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000181634'}]}]",rs7848647-?,NR,False,False
NR,(subset analysis),1,-14,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs726657-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TNFSF8', 'entrezGeneIds': [{'entrezGeneId': '944'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000106952'}]}]}",2024-02-17T07:38:24.000+0000,2024-02-17T07:38:24.000+0000,1e-14,24298020,,Single variant,"[{'riskAlleleName': 'rs726657-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TNFSF8', 'entrezGeneIds': [{'entrezGeneId': '944'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000106952'}]}]",rs726657-?,NR,False,False
NR,(subset analysis),2,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs7468800-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:27.000+0000,2024-02-17T07:38:27.000+0000,2e-09,24298024,,Single variant,"[{'riskAlleleName': 'rs7468800-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs7468800-?,NR,False,False
NR,(subset analysis),1,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4986790-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TLR4', 'entrezGeneIds': [{'entrezGeneId': '7099'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000136869'}]}]}",2024-02-17T07:38:29.000+0000,2024-02-17T07:38:29.000+0000,1e-08,24298028,,Single variant,"[{'riskAlleleName': 'rs4986790-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TLR4', 'entrezGeneIds': [{'entrezGeneId': '7099'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000136869'}]}]",rs4986790-?,NR,False,False
NR,(subset analysis),6,-45,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10870077-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]}",2024-02-17T07:38:31.000+0000,2024-02-17T07:38:31.000+0000,6e-45,24298032,,Single variant,"[{'riskAlleleName': 'rs10870077-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]",rs10870077-?,NR,False,False
NR,(subset analysis),1,-31,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs141992399-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]}",2024-02-17T07:38:34.000+0000,2024-02-17T07:38:34.000+0000,1e-31,24298036,,Single variant,"[{'riskAlleleName': 'rs141992399-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CARD9', 'entrezGeneIds': [{'entrezGeneId': '64170'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000187796'}]}]",rs141992399-?,NR,False,False
NR,(subset analysis),9,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs3124998-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'NOTCH1', 'entrezGeneIds': [{'entrezGeneId': '4851'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000148400'}]}]}",2024-02-17T07:38:37.000+0000,2024-02-17T07:38:37.000+0000,9.000000000000001e-09,24298040,,Single variant,"[{'riskAlleleName': 'rs3124998-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'NOTCH1', 'entrezGeneIds': [{'entrezGeneId': '4851'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000148400'}]}]",rs3124998-?,NR,False,False
NR,(subset analysis),1,-15,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs61839660-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]}",2024-05-23T20:44:30.000+0000,2024-05-23T20:44:30.000+0000,1e-15,24298044,,Single variant,"[{'riskAlleleName': 'rs61839660-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]",rs61839660-?,NR,False,False
NR,(subset analysis),4,-13,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs3118471-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]}",2024-02-17T07:38:42.000+0000,2024-02-17T07:38:42.000+0000,4e-13,24298048,,Single variant,"[{'riskAlleleName': 'rs3118471-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]",rs3118471-?,NR,False,False
NR,(subset analysis),4,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs76913543-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:34.000+0000,2024-02-17T07:38:34.000+0000,4e-12,24298052,,Single variant,"[{'riskAlleleName': 'rs76913543-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs76913543-?,NR,False,False
NR,(subset analysis),4,-8,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2104286-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]}",2024-05-23T13:01:31.000+0000,2024-05-23T13:01:31.000+0000,4e-08,24298056,,Single variant,"[{'riskAlleleName': 'rs2104286-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'IL2RA', 'entrezGeneIds': [{'entrezGeneId': '3559'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000134460'}]}]",rs2104286-?,NR,False,False
NR,(subset analysis),9,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2236379-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PRKCQ', 'entrezGeneIds': [{'entrezGeneId': '5588'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000065675'}]}]}",2024-02-17T07:38:39.000+0000,2024-02-17T07:38:39.000+0000,9.000000000000001e-09,24298060,,Single variant,"[{'riskAlleleName': 'rs2236379-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PRKCQ', 'entrezGeneIds': [{'entrezGeneId': '5588'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000065675'}]}]",rs2236379-?,NR,False,False
NR,(subset analysis),2,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2050392-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'RP11-449I17.5', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:42.000+0000,2024-02-17T07:38:42.000+0000,2e-09,24298064,,Single variant,"[{'riskAlleleName': 'rs2050392-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'RP11-449I17.5', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2050392-?,NR,False,False
NR,(subset analysis),5,-29,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs34779708-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CREM', 'entrezGeneIds': [{'entrezGeneId': '1390'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000095794'}]}]}",2024-02-17T07:38:44.000+0000,2024-02-17T07:38:44.000+0000,5e-29,24298069,,Single variant,"[{'riskAlleleName': 'rs34779708-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CREM', 'entrezGeneIds': [{'entrezGeneId': '1390'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000095794'}]}]",rs34779708-?,NR,False,False
NR,(subset analysis),3,-48,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs10995271-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZNF365', 'entrezGeneIds': [{'entrezGeneId': '22891'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138311'}]}]}",2024-02-17T07:38:46.000+0000,2024-02-17T07:38:46.000+0000,3e-48,24298073,,Single variant,"[{'riskAlleleName': 'rs10995271-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZNF365', 'entrezGeneIds': [{'entrezGeneId': '22891'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000138311'}]}]",rs10995271-?,NR,False,False
NR,(subset analysis),5,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4243971-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:38:45.000+0000,2024-02-17T07:38:45.000+0000,5e-09,24298417,,Single variant,"[{'riskAlleleName': 'rs4243971-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs4243971-?,NR,False,False
NR,(subset analysis),4,-28,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs2823288-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]}",2024-02-17T07:39:06.000+0000,2024-02-17T07:39:06.000+0000,4e-28,24298449,,Single variant,"[{'riskAlleleName': 'rs2823288-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'intergenic', 'entrezGeneIds': [], 'ensemblGeneIds': []}]",rs2823288-?,NR,False,False
NR,(subset analysis),4,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6058869-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'DNMT3B', 'entrezGeneIds': [{'entrezGeneId': '1789'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000088305'}]}]}",2024-02-17T07:38:47.000+0000,2024-02-17T07:38:47.000+0000,4e-09,24298421,,Single variant,"[{'riskAlleleName': 'rs6058869-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'DNMT3B', 'entrezGeneIds': [{'entrezGeneId': '1789'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000088305'}]}]",rs6058869-?,NR,False,False
NR,(subset analysis),1,-17,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs679574-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'FUT2', 'entrezGeneIds': [{'entrezGeneId': '2524'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000176920'}]}]}",2024-05-23T14:09:52.000+0000,2024-05-23T14:09:52.000+0000,1e-17,24298413,,Single variant,"[{'riskAlleleName': 'rs679574-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'FUT2', 'entrezGeneIds': [{'entrezGeneId': '2524'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000176920'}]}]",rs679574-?,NR,False,False
NR,(subset analysis),7,-16,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs4812833-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'HNF4A', 'entrezGeneIds': [{'entrezGeneId': '3172'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000101076'}]}]}",2024-02-17T07:38:50.000+0000,2024-02-17T07:38:50.000+0000,6.999999999999999e-16,24298425,,Single variant,"[{'riskAlleleName': 'rs4812833-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'HNF4A', 'entrezGeneIds': [{'entrezGeneId': '3172'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000101076'}]}]",rs4812833-?,NR,False,False
NR,(subset analysis),4,-7,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs79493594-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'PKIG', 'entrezGeneIds': [{'entrezGeneId': '11142'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000168734'}]}]}",2024-02-17T07:38:52.000+0000,2024-02-17T07:38:52.000+0000,4e-07,24298429,,Single variant,"[{'riskAlleleName': 'rs79493594-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'PKIG', 'entrezGeneIds': [{'entrezGeneId': '11142'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000168734'}]}]",rs79493594-?,NR,False,False
NR,(subset analysis),4,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1883832-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'CD40', 'entrezGeneIds': [{'entrezGeneId': '958'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000101017'}]}]}",2024-02-17T07:38:54.000+0000,2024-02-17T07:38:54.000+0000,4e-12,24298433,,Single variant,"[{'riskAlleleName': 'rs1883832-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'CD40', 'entrezGeneIds': [{'entrezGeneId': '958'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000101017'}]}]",rs1883832-?,NR,False,False
NR,(subset analysis),4,-9,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs1328454-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'SLC9A8', 'entrezGeneIds': [{'entrezGeneId': '23315'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197818'}]}]}",2024-02-17T07:38:57.000+0000,2024-02-17T07:38:57.000+0000,4e-09,24298437,,Single variant,"[{'riskAlleleName': 'rs1328454-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'SLC9A8', 'entrezGeneIds': [{'entrezGeneId': '23315'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000197818'}]}]",rs1328454-?,NR,False,False
NR,(subset analysis),4,-12,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs259964-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'ZNF831', 'entrezGeneIds': [{'entrezGeneId': '128611'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000124203'}]}]}",2024-02-17T07:38:59.000+0000,2024-02-17T07:38:59.000+0000,4e-12,24298441,,Single variant,"[{'riskAlleleName': 'rs259964-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'ZNF831', 'entrezGeneIds': [{'entrezGeneId': '128611'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000124203'}]}]",rs259964-?,NR,False,False
NR,(subset analysis),2,-30,False,False,known,,,,,,,,"{'haplotypeSnpCount': None, 'description': 'Single variant', 'strongestRiskAlleles': [{'riskAlleleName': 'rs6062496-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}], 'authorReportedGenes': [{'geneName': 'TNFRSF6B', 'entrezGeneIds': [{'entrezGeneId': '8771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000243509'}]}]}",2024-02-17T07:39:03.000+0000,2024-02-17T07:39:03.000+0000,2e-30,24298445,,Single variant,"[{'riskAlleleName': 'rs6062496-?', 'riskFrequency': 'NR', 'genomeWide': False, 'limitedList': False}]","[{'geneName': 'TNFRSF6B', 'entrezGeneIds': [{'entrezGeneId': '8771'}], 'ensemblGeneIds': [{'ensemblGeneId': 'ENSG00000243509'}]}]",rs6062496-?,NR,False,False
